Ticker,Exchange,Name,Sector
DLR,NYSE,Digital Realty Trust Inc,Real Estate
PSA,NYSE,Public Storage,Real Estate
CCI,NYSE,Crown Castle International Corp,Real Estate
AMT,NYSE,American Tower Corp.,Real Estate
AVB,NYSE,Avalonbay Communities Inc.,Real Estate
RL,NYSE,Ralph Lauren Corp,Consumer Discretionary
BAX,NYSE,Baxter International Inc.,Health Care
REG,NYSE,Regency Centers Corporation,Real Estate
SLG,NYSE,SL Green Realty Corp.,Real Estate
BF.B,NYSE,Brown-Forman Corp.,Consumer Staples
MRK,NYSE,Merck & Co Inc,Health Care
BMY,NYSE,Bristol-Myers Squibb Co.,Health Care
KIM,NYSE,Kimco Realty Corp.,Real Estate
YUM,NYSE,Yum Brands Inc.,Consumer Discretionary
UA,NYSE,Under Armour Inc,Consumer Discretionary
BDX,NYSE,"Becton, Dickinson And Co.",Health Care
CTXS,NASDAQ,"Citrix Systems, Inc.",Information Technology
MKTX,NASDAQ,MarketAxess Holdings Inc.,Financials
FRT,NYSE,Federal Realty Investment Trust,Real Estate
BLL,NYSE,Ball Corp.,Materials
EQR,NYSE,Equity Residential Properties Trust,Real Estate
PLD,NYSE,Prologis Inc,Real Estate
CINF,NASDAQ,Cincinnati Financial Corp.,Financials
PM,NYSE,Philip Morris International Inc,Consumer Staples
VNO,NYSE,Vornado Realty Trust,Real Estate
KEY,NYSE,Keycorp,Financials
SPG,NYSE,"Simon Property Group, Inc.",Real Estate
BXP,NYSE,"Boston Properties, Inc.",Real Estate
AIG,NYSE,American International Group Inc,Financials
ESS,NYSE,"Essex Property Trust, Inc.",Real Estate
WELL,NYSE,Welltower Inc,Real Estate
VTR,NYSE,Ventas Inc,Real Estate
MAA,NYSE,"Mid-America Apartment Communities, Inc.",Real Estate
DRE,NYSE,Duke Realty Corp,Real Estate
MTB,NYSE,M & T Bank Corp,Financials
PEAK,NYSE,Healthpeak Properties Inc,Real Estate
WY,NYSE,Weyerhaeuser Co.,Real Estate
UDR,NYSE,UDR Inc,Real Estate
ARE,NYSE,Alexandria Real Estate Equities Inc.,Real Estate
AIV,NYSE,Apartment Investment & Management Co.,Real Estate
XYL,NYSE,Xylem Inc,Industrials
CAG,NYSE,Conagra Brands Inc,Consumer Staples
O,NYSE,Realty Income Corp.,Real Estate
ICE,NYSE,Intercontinental Exchange Inc,Financials
INFO,NASDAQ,IHS Markit Ltd,Industrials
DAL,NYSE,"Delta Air Lines, Inc.",Industrials
BLK,NYSE,Blackrock Inc.,Financials
C,NYSE,Citigroup Inc,Financials
WFC,NYSE,Wells Fargo & Co.,Financials
HAL,NYSE,Halliburton Co.,Energy
STT,NYSE,State Street Corp.,Financials
FAST,NASDAQ,Fastenal Co.,Industrials
PG,NYSE,Procter & Gamble Co.,Consumer Staples
UAL,NYSE,United Continental Holdings Inc,Industrials
KMI,NYSE,Kinder Morgan Inc,Energy
BK,NYSE,Bank Of New York Mellon Corp,Financials
CFG,NYSE,Citizens Financial Group Inc,Financials
NFLX,NASDAQ,NetFlix Inc,Communication Services
BKR,NYSE,Baker Hughes Co,Energy
NTRS,NASDAQ,Northern Trust Corp.,Financials
ISRG,NASDAQ,Intuitive Surgical Inc,Health Care
SLB,NYSE,Schlumberger Ltd.,Energy
LW,NYSE,Lamb Weston Holdings Inc,Consumer Staples
INTC,NASDAQ,Intel Corp.,Information Technology
IBM,NYSE,International Business Machines Corp.,Information Technology
KMB,NYSE,Kimberly-Clark Corp.,Consumer Staples
LMT,NYSE,Lockheed Martin Corp.,Industrials
VZ,NYSE,Verizon Communications Inc,Communication Services
PCAR,NASDAQ,Paccar Inc.,Industrials
NEE,NYSE,NextEra Energy Inc,Utilities
RTX,NYSE,Raytheon Technologies Corporation,Industrials
CHRW,NASDAQ,"C.H. Robinson Worldwide, Inc.",Industrials
AMD,NASDAQ,Advanced Micro Devices Inc.,Information Technology
MMM,NYSE,3M Co.,Industrials
MXIM,NASDAQ,"Maxim Integrated Products, Inc.",Information Technology
ALK,NYSE,Alaska Air Group Inc.,Industrials
JNJ,NYSE,Johnson & Johnson,Health Care
WBA,NASDAQ,Walgreens Boots Alliance Inc,Consumer Staples
TXT,NYSE,Textron Inc.,Industrials
ROL,NYSE,"Rollins, Inc.",Industrials
PKG,NYSE,Packaging Corp Of America,Materials
T,NYSE,"AT&T, Inc.",Communication Services
EW,NYSE,Edwards Lifesciences Corp,Health Care
GD,NYSE,General Dynamics Corp.,Industrials
BA,NYSE,Boeing Co.,Industrials
VFC,NYSE,VF Corp.,Consumer Discretionary
FB,NASDAQ,Facebook Inc,Communication Services
XLNX,NASDAQ,"Xilinx, Inc.",Information Technology
PGR,NYSE,Progressive Corp.,Financials
AAPL,NASDAQ,Apple Inc,Information Technology
XEL,NASDAQ,"Xcel Energy, Inc.",Utilities
VLO,NYSE,Valero Energy Corp.,Energy
LUV,NYSE,Southwest Airlines Co,Industrials
WEC,NYSE,WEC Energy Group Inc,Utilities
RMD,NYSE,Resmed Inc.,Health Care
MCD,NYSE,McDonald`s Corp,Consumer Discretionary
HSY,NYSE,Hershey Company,Consumer Staples
MDLZ,NASDAQ,Mondelez International Inc.,Consumer Staples
WRK,NYSE,WestRock Co,Materials
MO,NYSE,Altria Group Inc.,Consumer Staples
NOC,NYSE,Northrop Grumman Corp.,Industrials
AJG,NYSE,Arthur J. Gallagher & Co.,Financials
MSCI,NYSE,MSCI Inc,Financials
DHR,NYSE,Danaher Corp.,Health Care
CMS,NYSE,CMS Energy Corporation,Utilities
ALXN,NASDAQ,Alexion Pharmaceuticals Inc.,Health Care
JNPR,NYSE,Juniper Networks Inc,Information Technology
WDC,NASDAQ,Western Digital Corp.,Information Technology
CL,NYSE,Colgate-Palmolive Co.,Consumer Staples
PSX,NYSE,Phillips 66,Energy
CHD,NYSE,"Church & Dwight Co., Inc.",Consumer Staples
ROP,NYSE,Roper Technologies Inc,Industrials
CVX,NYSE,Chevron Corp.,Energy
LYB,NYSE,LyondellBasell Industries NV,Materials
VRTX,NASDAQ,"Vertex Pharmaceuticals, Inc.",Health Care
TMO,NYSE,Thermo Fisher Scientific Inc.,Health Care
DGX,NYSE,"Quest Diagnostics, Inc.",Health Care
BEN,NYSE,"Franklin Resources, Inc.",Financials
AMGN,NASDAQ,AMGEN Inc.,Health Care
COP,NYSE,Conoco Phillips,Energy
XOM,NYSE,Exxon Mobil Corp.,Energy
ATO,NYSE,Atmos Energy Corp.,Utilities
MCK,NYSE,Mckesson Corporation,Health Care
LHX,NYSE,L3Harris Technologies Inc,Industrials
BR,NYSE,"Broadridge Financial Solutions, Inc.",Information Technology
UPS,NYSE,"United Parcel Service, Inc.",Industrials
AMZN,NASDAQ,Amazon.com Inc.,Consumer Discretionary
PFE,NYSE,Pfizer Inc.,Health Care
MPC,NYSE,Marathon Petroleum Corp,Energy
SYY,NYSE,Sysco Corp.,Consumer Staples
AMCR,NYSE,Amcor Plc,Materials
WAT,NYSE,Waters Corp.,Health Care
ABMD,NASDAQ,Abiomed Inc.,Health Care
STE,NYSE,Steris Plc,Health Care
EA,NASDAQ,"Electronic Arts, Inc.",Communication Services
